172.30.0.1 - - [23/Dec/2022:03:56:06 +0000] "GET / HTTP/1.1" 200 74412 "-" "Wget/1.20.3 (linux-gnu)"
192.168.56.1 - - [23/Dec/2022:05:54:52 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:54:52 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:54:52 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:54:52 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:55:02 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:55:02 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:55:02 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:55:02 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:55:17 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:55:17 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:55:17 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:55:17 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:55:59 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:55:59 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:55:59 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:55:59 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.176.1 - - [23/Dec/2022:05:56:23 +0000] "GET / HTTP/1.1" 200 74426 "-" "Wget/1.20.3 (linux-gnu)"
192.168.56.1 - - [23/Dec/2022:05:58:44 +0000] "GET / HTTP/1.1" 200 22489 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
192.168.56.1 - - [23/Dec/2022:05:58:44 +0000] "GET /favicon.ico HTTP/1.1" 404 494 "http://192.168.56.102:8000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
192.168.56.1 - - [23/Dec/2022:05:59:06 +0000] "GET / HTTP/1.1" 200 22486 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
192.168.56.1 - - [23/Dec/2022:05:59:06 +0000] "GET /favicon.ico HTTP/1.1" 404 485 "http://ubdev:8000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
192.168.56.1 - - [23/Dec/2022:05:59:25 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:59:25 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:59:25 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:59:25 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:59:36 +0000] "-" 408 0 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:59:51 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:59:51 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:59:51 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:59:51 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:05:59:53 +0000] "GET / HTTP/1.1" 200 22487 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
192.168.56.1 - - [23/Dec/2022:06:00:27 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:06:00:27 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:06:00:27 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:06:00:27 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:06:00:37 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:06:00:37 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:06:00:37 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:06:00:37 +0000] "\x16\x03\x01\x02" 400 487 "-" "-"
192.168.56.1 - - [23/Dec/2022:06:00:45 +0000] "-" 408 0 "-" "-"
192.168.56.1 - - [23/Dec/2022:08:10:18 +0000] "GET / HTTP/1.1" 200 22492 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
192.168.56.1 - - [23/Dec/2022:08:11:10 +0000] "-" 408 0 "-" "-"
192.168.56.1 - - [26/Dec/2022:22:34:01 +0000] "GET / HTTP/1.1" 200 22505 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
